Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB CPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
30/1/2020 06:21:13 AM,22.00,22.00,46.00,22.00,24.00,24.00,939,642,667,1.38,48,46.00,795,20.70,420,420,960
30/1/2020 06:21:18 AM,22.00,23.00,50.00,22.00,24.00,25.00,941,640,668,1.43,7,23.00,0,21.00,420,420,960
30/1/2020 06:21:23 AM,22.00,23.00,46.00,22.00,23.00,26.00,938,641,665,1.43,6,23.00,0,21.40,420,420,930
30/1/2020 06:21:28 AM,22.00,24.00,38.00,22.00,24.00,27.00,941,646,668,1.42,1,24.00,0,21.60,420,420,960
30/1/2020 06:21:33 AM,23.00,24.00,40.00,22.00,24.00,28.00,943,643,668,0.98,3,24.00,0,21.70,477,473,960
30/1/2020 06:21:38 AM,23.00,24.00,47.00,22.00,24.00,28.00,941,646,670,1.42,1,25.00,0,21.70,443,438,930
30/1/2020 06:21:43 AM,23.00,25.00,38.00,22.00,24.00,29.00,936,647,670,1.42,2,25.00,0,21.70,432,424,930
30/1/2020 06:21:48 AM,23.00,25.00,40.00,22.00,24.00,29.00,943,643,671,1.43,2,25.00,0,21.70,421,423,930
30/1/2020 06:21:53 AM,23.00,25.00,37.00,22.00,25.00,29.00,939,647,670,1.43,1,26.00,0,21.70,420,420,930
30/1/2020 06:21:58 AM,24.00,25.00,43.00,22.00,25.00,30.00,936,644,671,1.42,14,28.00,0,21.80,420,423,930
30/1/2020 06:22:03 AM,24.00,26.00,48.00,22.00,25.00,30.00,939,645,670,1.45,14,27.00,0,21.90,420,420,930
30/1/2020 06:22:08 AM,24.00,26.00,44.00,22.00,25.00,30.00,939,643,670,1.43,7,28.00,0,22.10,420,423,960
30/1/2020 06:22:13 AM,24.00,26.00,37.00,23.00,25.00,31.00,941,649,671,1.43,2,28.00,0,22.20,420,420,930
30/1/2020 06:22:18 AM,25.00,26.00,42.00,23.00,25.00,31.00,939,650,675,1.42,3,29.00,0,22.20,420,423,960
30/1/2020 06:22:23 AM,25.00,27.00,51.00,23.00,25.00,32.00,941,657,686,1.43,3,29.00,0,22.20,420,420,960
30/1/2020 06:22:28 AM,25.00,27.00,42.00,23.00,25.00,32.00,939,659,687,1.43,3,29.00,0,22.30,420,420,930
30/1/2020 06:22:33 AM,25.00,27.00,37.00,23.00,25.00,32.00,939,665,687,1.42,2,30.00,0,22.30,420,423,960
30/1/2020 06:22:38 AM,25.00,27.00,40.00,24.00,26.00,32.00,941,661,686,1.43,2,30.00,0,22.30,420,420,930
30/1/2020 06:22:43 AM,25.00,27.00,42.00,24.00,25.00,32.00,941,661,689,1.42,2,31.00,0,22.30,420,420,930
30/1/2020 06:22:48 AM,25.00,27.00,41.00,24.00,26.00,32.00,944,662,687,1.39,7,31.00,0,22.30,426,420,960
30/1/2020 06:22:53 AM,25.00,28.00,45.00,24.00,26.00,32.00,941,662,687,0.91,2,32.00,0,22.30,425,423,930
30/1/2020 06:22:58 AM,25.00,28.00,36.00,24.00,25.00,33.00,939,666,688,0.91,2,32.00,0,22.40,424,426,930
30/1/2020 06:23:03 AM,25.00,28.00,41.00,24.00,25.00,33.00,941,664,690,0.92,7,33.00,0,22.40,423,420,960
30/1/2020 06:23:08 AM,25.00,29.00,42.00,25.00,26.00,33.00,943,666,691,0.92,4,33.00,0,22.40,422,420,930
30/1/2020 06:23:13 AM,25.00,29.00,42.00,25.00,26.00,33.00,944,662,692,0.90,3,33.00,0,22.40,420,423,960
30/1/2020 06:23:18 AM,25.00,29.00,38.00,25.00,26.00,34.00,944,667,689,1.43,3,34.00,0,22.40,420,420,960
30/1/2020 06:23:23 AM,25.00,29.00,29.00,25.00,26.00,34.00,952,666,689,0.91,3,34.00,0,22.40,426,420,960
30/1/2020 06:23:28 AM,26.00,29.00,33.00,25.00,26.00,34.00,944,692,714,0.91,3,35.00,0,22.30,424,421,960
30/1/2020 06:23:33 AM,26.00,30.00,30.00,25.00,26.00,34.00,945,697,720,0.90,3,35.00,0,22.40,422,425,930
30/1/2020 06:23:38 AM,26.00,30.00,43.00,25.00,26.00,34.00,943,697,722,1.43,3,35.00,0,22.40,420,420,930
30/1/2020 06:23:43 AM,26.00,30.00,43.00,25.00,26.00,34.00,948,698,722,1.40,7,35.00,0,22.40,426,420,930
30/1/2020 06:23:48 AM,26.00,30.00,38.00,25.00,26.00,34.00,945,694,722,0.91,2,36.00,0,22.50,420,424,930
30/1/2020 06:23:53 AM,26.00,30.00,31.00,26.00,26.00,35.00,947,694,722,0.91,2,36.00,0,22.50,422,420,930
30/1/2020 06:23:58 AM,26.00,30.00,42.00,26.00,27.00,35.00,944,698,722,0.91,2,37.00,0,22.60,420,420,930
