Timestamp,"MB Temp #1","MB Temp #2","MB Temp #3","MB Temp #4","MB Temp #5","MB Temp #6","MB Fan #1","MB Fan #2","MB Fan #3","MB VCPU","CPU Load","GPU Temp","GPU Fan","H115i PRO Temp","H115i PRO Fan #1","H115i PRO Fan #2","H115i PRO Pump"
12/3/2020 06:45:31 AM,22.00°C,22.00°C,57.00°C,22.00°C,23.00°C,24.00°C,918RPM,652RPM,672RPM,1.42V,14%,23.00°C,0RPM,21.10°C,420RPM,420RPM,930RPM
12/3/2020 06:45:36 AM,22.00°C,23.00°C,48.00°C,22.00°C,24.00°C,25.00°C,925RPM,651RPM,672RPM,1.45V,6%,23.00°C,0RPM,21.50°C,420RPM,420RPM,960RPM
12/3/2020 06:45:41 AM,22.00°C,23.00°C,44.00°C,22.00°C,24.00°C,27.00°C,925RPM,652RPM,672RPM,1.40V,9%,23.00°C,0RPM,21.80°C,420RPM,420RPM,930RPM
12/3/2020 06:45:46 AM,22.00°C,23.00°C,50.00°C,22.00°C,24.00°C,27.00°C,925RPM,653RPM,674RPM,1.43V,3%,24.00°C,0RPM,22.00°C,420RPM,420RPM,930RPM
12/3/2020 06:45:51 AM,23.00°C,24.00°C,41.00°C,22.00°C,24.00°C,28.00°C,927RPM,653RPM,674RPM,1.43V,4%,24.00°C,0RPM,22.10°C,420RPM,481RPM,930RPM
12/3/2020 06:45:56 AM,23.00°C,25.00°C,43.00°C,22.00°C,25.00°C,28.00°C,925RPM,654RPM,673RPM,0.98V,2%,25.00°C,0RPM,22.20°C,451RPM,438RPM,930RPM
12/3/2020 06:46:01 AM,23.00°C,25.00°C,50.00°C,22.00°C,25.00°C,29.00°C,927RPM,653RPM,672RPM,1.40V,11%,26.00°C,0RPM,22.30°C,429RPM,423RPM,930RPM
12/3/2020 06:46:06 AM,24.00°C,25.00°C,42.00°C,22.00°C,25.00°C,30.00°C,925RPM,655RPM,674RPM,1.45V,2%,26.00°C,0RPM,22.40°C,424RPM,420RPM,930RPM
12/3/2020 06:46:11 AM,24.00°C,25.00°C,44.00°C,22.00°C,25.00°C,30.00°C,927RPM,655RPM,672RPM,1.44V,3%,27.00°C,0RPM,22.50°C,420RPM,420RPM,930RPM
12/3/2020 06:46:16 AM,24.00°C,25.00°C,39.00°C,22.00°C,25.00°C,30.00°C,927RPM,655RPM,674RPM,0.96V,1%,27.00°C,0RPM,22.50°C,426RPM,420RPM,930RPM
12/3/2020 06:46:21 AM,24.00°C,25.00°C,43.00°C,23.00°C,25.00°C,31.00°C,925RPM,656RPM,676RPM,1.46V,0%,27.00°C,0RPM,22.50°C,424RPM,426RPM,960RPM
12/3/2020 06:46:26 AM,25.00°C,26.00°C,36.00°C,23.00°C,25.00°C,31.00°C,927RPM,669RPM,685RPM,1.43V,6%,28.00°C,0RPM,22.40°C,422RPM,420RPM,960RPM
12/3/2020 06:46:31 AM,25.00°C,26.00°C,42.00°C,23.00°C,25.00°C,31.00°C,927RPM,672RPM,689RPM,1.44V,1%,28.00°C,0RPM,22.40°C,414RPM,421RPM,960RPM
12/3/2020 06:46:36 AM,25.00°C,26.00°C,35.00°C,23.00°C,25.00°C,32.00°C,923RPM,673RPM,689RPM,1.45V,3%,29.00°C,0RPM,22.40°C,414RPM,425RPM,930RPM
12/3/2020 06:46:41 AM,25.00°C,26.00°C,37.00°C,23.00°C,25.00°C,32.00°C,930RPM,675RPM,691RPM,1.44V,1%,29.00°C,0RPM,22.40°C,409RPM,420RPM,930RPM
12/3/2020 06:46:46 AM,25.00°C,26.00°C,48.00°C,24.00°C,26.00°C,32.00°C,927RPM,676RPM,692RPM,0.97V,1%,30.00°C,0RPM,22.40°C,411RPM,420RPM,930RPM
12/3/2020 06:46:51 AM,25.00°C,27.00°C,38.00°C,24.00°C,25.00°C,32.00°C,927RPM,677RPM,692RPM,1.43V,0%,30.00°C,0RPM,22.40°C,408RPM,421RPM,960RPM
12/3/2020 06:46:56 AM,25.00°C,27.00°C,30.00°C,24.00°C,26.00°C,32.00°C,926RPM,679RPM,692RPM,0.89V,1%,31.00°C,0RPM,22.40°C,411RPM,425RPM,960RPM
12/3/2020 06:47:01 AM,25.00°C,27.00°C,38.00°C,24.00°C,26.00°C,32.00°C,928RPM,680RPM,693RPM,0.89V,1%,31.00°C,0RPM,22.40°C,411RPM,420RPM,960RPM
12/3/2020 06:47:06 AM,25.00°C,27.00°C,39.00°C,24.00°C,25.00°C,32.00°C,930RPM,680RPM,692RPM,1.43V,2%,32.00°C,0RPM,22.40°C,405RPM,420RPM,930RPM
12/3/2020 06:47:11 AM,25.00°C,28.00°C,30.00°C,25.00°C,26.00°C,33.00°C,931RPM,681RPM,694RPM,0.89V,1%,32.00°C,0RPM,22.30°C,411RPM,421RPM,960RPM
12/3/2020 06:47:16 AM,25.00°C,28.00°C,35.00°C,25.00°C,25.00°C,33.00°C,927RPM,682RPM,693RPM,1.45V,1%,32.00°C,0RPM,22.30°C,409RPM,424RPM,930RPM
12/3/2020 06:47:21 AM,25.00°C,28.00°C,39.00°C,25.00°C,26.00°C,33.00°C,927RPM,682RPM,694RPM,0.88V,2%,33.00°C,0RPM,22.30°C,411RPM,426RPM,960RPM
12/3/2020 06:47:26 AM,25.00°C,28.00°C,40.00°C,25.00°C,26.00°C,33.00°C,930RPM,683RPM,694RPM,0.89V,1%,33.00°C,0RPM,22.30°C,411RPM,420RPM,960RPM
12/3/2020 06:47:31 AM,26.00°C,28.00°C,36.00°C,25.00°C,26.00°C,34.00°C,926RPM,697RPM,709RPM,0.91V,1%,33.00°C,0RPM,22.40°C,409RPM,420RPM,930RPM
12/3/2020 06:47:36 AM,26.00°C,29.00°C,37.00°C,25.00°C,26.00°C,34.00°C,932RPM,713RPM,724RPM,1.43V,0%,34.00°C,0RPM,22.40°C,411RPM,420RPM,930RPM
12/3/2020 06:47:41 AM,26.00°C,29.00°C,29.00°C,25.00°C,26.00°C,34.00°C,930RPM,714RPM,726RPM,0.92V,2%,34.00°C,0RPM,22.40°C,411RPM,422RPM,960RPM
12/3/2020 06:47:46 AM,26.00°C,29.00°C,35.00°C,25.00°C,26.00°C,34.00°C,928RPM,714RPM,725RPM,0.89V,2%,35.00°C,0RPM,22.40°C,405RPM,426RPM,960RPM
12/3/2020 06:47:51 AM,26.00°C,29.00°C,37.00°C,25.00°C,27.00°C,34.00°C,930RPM,716RPM,726RPM,0.92V,3%,35.00°C,0RPM,22.50°C,411RPM,420RPM,930RPM
12/3/2020 06:47:56 AM,26.00°C,29.00°C,38.00°C,25.00°C,26.00°C,35.00°C,932RPM,715RPM,727RPM,1.44V,2%,36.00°C,0RPM,22.50°C,410RPM,420RPM,930RPM
12/3/2020 06:48:01 AM,26.00°C,30.00°C,34.00°C,26.00°C,26.00°C,35.00°C,930RPM,717RPM,725RPM,0.91V,1%,36.00°C,0RPM,22.50°C,411RPM,420RPM,960RPM
12/3/2020 06:48:06 AM,26.00°C,30.00°C,35.00°C,26.00°C,27.00°C,35.00°C,927RPM,717RPM,727RPM,0.89V,1%,36.00°C,0RPM,22.60°C,411RPM,421RPM,960RPM
12/3/2020 06:48:11 AM,26.00°C,30.00°C,31.00°C,26.00°C,26.00°C,35.00°C,926RPM,717RPM,728RPM,0.91V,1%,37.00°C,0RPM,22.60°C,408RPM,422RPM,960RPM
12/3/2020 06:48:16 AM,26.00°C,30.00°C,33.00°C,26.00°C,27.00°C,35.00°C,928RPM,720RPM,727RPM,1.43V,1%,37.00°C,0RPM,22.70°C,411RPM,424RPM,930RPM
12/3/2020 06:48:21 AM,27.00°C,30.00°C,35.00°C,26.00°C,27.00°C,35.00°C,932RPM,734RPM,741RPM,0.89V,1%,37.00°C,0RPM,22.70°C,411RPM,424RPM,930RPM
12/3/2020 06:48:26 AM,27.00°C,30.00°C,51.00°C,26.00°C,27.00°C,35.00°C,934RPM,733RPM,744RPM,1.43V,1%,38.00°C,0RPM,22.70°C,406RPM,424RPM,960RPM
12/3/2020 06:48:31 AM,27.00°C,30.00°C,41.00°C,27.00°C,27.00°C,35.00°C,928RPM,733RPM,743RPM,0.89V,2%,38.00°C,0RPM,22.80°C,411RPM,426RPM,960RPM
12/3/2020 06:48:36 AM,27.00°C,30.00°C,37.00°C,27.00°C,27.00°C,35.00°C,930RPM,734RPM,744RPM,1.43V,6%,38.00°C,0RPM,22.80°C,408RPM,426RPM,930RPM
12/3/2020 06:48:41 AM,27.00°C,31.00°C,48.00°C,27.00°C,27.00°C,36.00°C,934RPM,734RPM,745RPM,1.43V,11%,39.00°C,0RPM,22.90°C,411RPM,425RPM,960RPM
12/3/2020 06:48:46 AM,27.00°C,31.00°C,46.00°C,27.00°C,28.00°C,36.00°C,932RPM,734RPM,742RPM,0.89V,0%,39.00°C,0RPM,23.00°C,411RPM,423RPM,960RPM
12/3/2020 06:48:51 AM,27.00°C,31.00°C,41.00°C,27.00°C,28.00°C,36.00°C,930RPM,734RPM,743RPM,0.89V,2%,39.00°C,0RPM,23.20°C,411RPM,421RPM,930RPM
12/3/2020 06:48:56 AM,27.00°C,31.00°C,32.00°C,27.00°C,28.00°C,36.00°C,931RPM,731RPM,743RPM,0.90V,1%,40.00°C,0RPM,23.20°C,411RPM,420RPM,960RPM
12/3/2020 06:49:01 AM,27.00°C,31.00°C,35.00°C,27.00°C,27.00°C,36.00°C,928RPM,734RPM,745RPM,1.43V,2%,41.00°C,0RPM,23.30°C,407RPM,426RPM,960RPM
12/3/2020 06:49:06 AM,27.00°C,31.00°C,40.00°C,27.00°C,28.00°C,36.00°C,932RPM,734RPM,743RPM,0.89V,0%,41.00°C,0RPM,23.30°C,411RPM,424RPM,960RPM
12/3/2020 06:49:11 AM,27.00°C,31.00°C,40.00°C,27.00°C,28.00°C,36.00°C,931RPM,733RPM,746RPM,0.89V,1%,41.00°C,0RPM,23.30°C,410RPM,422RPM,960RPM
12/3/2020 06:49:16 AM,27.00°C,32.00°C,41.00°C,28.00°C,28.00°C,37.00°C,930RPM,733RPM,743RPM,1.48V,0%,42.00°C,0RPM,23.30°C,411RPM,420RPM,960RPM
12/3/2020 06:49:21 AM,27.00°C,32.00°C,37.00°C,28.00°C,28.00°C,37.00°C,926RPM,734RPM,747RPM,0.90V,1%,42.00°C,0RPM,23.30°C,411RPM,425RPM,930RPM
12/3/2020 06:49:26 AM,27.00°C,32.00°C,38.00°C,28.00°C,28.00°C,37.00°C,927RPM,733RPM,747RPM,0.92V,2%,42.00°C,0RPM,23.40°C,411RPM,422RPM,960RPM
12/3/2020 06:49:31 AM,27.00°C,32.00°C,39.00°C,28.00°C,28.00°C,37.00°C,931RPM,735RPM,745RPM,0.89V,0%,43.00°C,0RPM,23.40°C,411RPM,420RPM,930RPM
